Vehicle [frontAxleOnA=98186, rearAxleOnA=98333, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=ONE]
Vehicle [frontAxleOnA=32513289, rearAxleOnA=32513420, frontAxleOnB=32513292, rearAxleOnB=32513422, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32522987, rearAxleOnA=32523144, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32526780, rearAxleOnA=32526922, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32527523, rearAxleOnA=32527647, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32529464, rearAxleOnA=32529616, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32536418, rearAxleOnA=32536544, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32543062, rearAxleOnA=32543236, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32556336, rearAxleOnA=32556470, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32556851, rearAxleOnA=32557008, frontAxleOnB=32556854, rearAxleOnB=32557011, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32567770, rearAxleOnA=32567909, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32575876, rearAxleOnA=32576017, frontAxleOnB=32575879, rearAxleOnB=32576020, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32591374, rearAxleOnA=32591512, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32623836, rearAxleOnA=32623965, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32639907, rearAxleOnA=32640027, frontAxleOnB=32639909, rearAxleOnB=32640029, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32645817, rearAxleOnA=32645944, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32659547, rearAxleOnA=32659685, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32661194, rearAxleOnA=32661345, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32668133, rearAxleOnA=32668265, frontAxleOnB=32668135, rearAxleOnB=32668268, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32682989, rearAxleOnA=32683149, frontAxleOnB=32682992, rearAxleOnB=32683152, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32704812, rearAxleOnA=32704934, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32712904, rearAxleOnA=32713036, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32715741, rearAxleOnA=32715928, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32717969, rearAxleOnA=32718126, frontAxleOnB=32717972, rearAxleOnB=32718129, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32757382, rearAxleOnA=32757549, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32774298, rearAxleOnA=32774457, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32781689, rearAxleOnA=32781815, frontAxleOnB=32781692, rearAxleOnB=32781818, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32798935, rearAxleOnA=32799089, frontAxleOnB=32798938, rearAxleOnB=32799092, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32800111, rearAxleOnA=32800255, frontAxleOnB=32800114, rearAxleOnB=32800258, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32800988, rearAxleOnA=32801122, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32806535, rearAxleOnA=32806653, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32807582, rearAxleOnA=32807723, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32828933, rearAxleOnA=32829071, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32830099, rearAxleOnA=32830248, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32835052, rearAxleOnA=32835248, frontAxleOnB=32835056, rearAxleOnB=32835252, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32880568, rearAxleOnA=32880694, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32891815, rearAxleOnA=32891955, frontAxleOnB=32891818, rearAxleOnB=32891957, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32894318, rearAxleOnA=32894436, frontAxleOnB=32894320, rearAxleOnB=32894439, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32909559, rearAxleOnA=32909696, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32911346, rearAxleOnA=32911507, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32930510, rearAxleOnA=32930640, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32945693, rearAxleOnA=32945844, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32952714, rearAxleOnA=32952883, frontAxleOnB=32952717, rearAxleOnB=32952886, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32956879, rearAxleOnA=32957017, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32970572, rearAxleOnA=32970709, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32993529, rearAxleOnA=32993650, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=32995307, rearAxleOnA=32995469, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33014820, rearAxleOnA=33014992, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33042453, rearAxleOnA=33042590, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33044503, rearAxleOnA=33044677, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33047605, rearAxleOnA=33047733, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33072158, rearAxleOnA=33072309, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33072861, rearAxleOnA=33072977, frontAxleOnB=33072863, rearAxleOnB=33072979, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33077127, rearAxleOnA=33077240, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33080673, rearAxleOnA=33080807, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33123577, rearAxleOnA=33123707, frontAxleOnB=33123579, rearAxleOnB=33123710, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33158051, rearAxleOnA=33158194, frontAxleOnB=33158054, rearAxleOnB=33158197, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33190201, rearAxleOnA=33190371, frontAxleOnB=33190204, rearAxleOnB=33190375, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33240699, rearAxleOnA=33240865, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33248460, rearAxleOnA=33248580, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33249058, rearAxleOnA=33249190, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33254458, rearAxleOnA=33254581, frontAxleOnB=33254460, rearAxleOnB=33254584, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33256574, rearAxleOnA=33256720, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33299562, rearAxleOnA=33299719, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33302891, rearAxleOnA=33303025, frontAxleOnB=33302893, rearAxleOnB=33303027, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33317507, rearAxleOnA=33317612, frontAxleOnB=33317509, rearAxleOnB=33317615, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33323126, rearAxleOnA=33323250, frontAxleOnB=33323129, rearAxleOnB=33323252, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33324447, rearAxleOnA=33324594, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33325746, rearAxleOnA=33325904, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33334601, rearAxleOnA=33334775, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33398373, rearAxleOnA=33398481, frontAxleOnB=33398375, rearAxleOnB=33398484, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33461632, rearAxleOnA=33461773, frontAxleOnB=33461635, rearAxleOnB=33461775, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33492705, rearAxleOnA=33492851, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33512046, rearAxleOnA=33512178, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33540556, rearAxleOnA=33540701, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33581386, rearAxleOnA=33581563, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33581763, rearAxleOnA=33581900, frontAxleOnB=33581766, rearAxleOnB=33581903, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33585515, rearAxleOnA=33585647, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33596247, rearAxleOnA=33596406, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33596662, rearAxleOnA=33596823, frontAxleOnB=33596666, rearAxleOnB=33596826, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33606484, rearAxleOnA=33606602, frontAxleOnB=33606486, rearAxleOnB=33606604, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33613785, rearAxleOnA=33613931, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33615529, rearAxleOnA=33615675, frontAxleOnB=33615532, rearAxleOnB=33615678, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33639162, rearAxleOnA=33639329, frontAxleOnB=33639165, rearAxleOnB=33639333, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33681318, rearAxleOnA=33681502, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33740423, rearAxleOnA=33740561, frontAxleOnB=33740426, rearAxleOnB=33740563, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33747039, rearAxleOnA=33747157, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33794639, rearAxleOnA=33794769, frontAxleOnB=33794642, rearAxleOnB=33794771, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33852656, rearAxleOnA=33852784, frontAxleOnB=33852659, rearAxleOnB=33852787, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33863047, rearAxleOnA=33863194, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33898141, rearAxleOnA=33898311, frontAxleOnB=33898144, rearAxleOnB=33898314, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33912425, rearAxleOnA=33912579, frontAxleOnB=33912428, rearAxleOnB=33912582, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33913214, rearAxleOnA=33913396, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33943180, rearAxleOnA=33943375, frontAxleOnB=33943183, rearAxleOnB=33943379, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33977742, rearAxleOnA=33977871, frontAxleOnB=33977745, rearAxleOnB=33977874, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33991023, rearAxleOnA=33991147, frontAxleOnB=33991026, rearAxleOnB=33991150, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=33992124, rearAxleOnA=33992262, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34023490, rearAxleOnA=34023654, frontAxleOnB=34023494, rearAxleOnB=34023657, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34065681, rearAxleOnA=34065834, frontAxleOnB=34065683, rearAxleOnB=34065837, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34109186, rearAxleOnA=34109316, frontAxleOnB=34109189, rearAxleOnB=34109318, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34136822, rearAxleOnA=34137012, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34200925, rearAxleOnA=34201065, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34207139, rearAxleOnA=34207290, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34211810, rearAxleOnA=34212007, frontAxleOnB=34211813, rearAxleOnB=34212010, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34280585, rearAxleOnA=34280711, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34297940, rearAxleOnA=34298074, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34305654, rearAxleOnA=34305803, frontAxleOnB=34305657, rearAxleOnB=34305806, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34337800, rearAxleOnA=34337949, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34342067, rearAxleOnA=34342209, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34361173, rearAxleOnA=34361329, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34365239, rearAxleOnA=34365377, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34365668, rearAxleOnA=34365803, frontAxleOnB=34365670, rearAxleOnB=34365806, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34385170, rearAxleOnA=34385295, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34423882, rearAxleOnA=34424028, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34426534, rearAxleOnA=34426736, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34440059, rearAxleOnA=34440183, frontAxleOnB=34440062, rearAxleOnB=34440186, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34450170, rearAxleOnA=34450352, frontAxleOnB=34450173, rearAxleOnB=34450356, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34492825, rearAxleOnA=34493001, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34509293, rearAxleOnA=34509418, frontAxleOnB=34509296, rearAxleOnB=34509421, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34525916, rearAxleOnA=34526093, frontAxleOnB=34525920, rearAxleOnB=34526097, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34532596, rearAxleOnA=34532742, frontAxleOnB=34532599, rearAxleOnB=34532745, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34539899, rearAxleOnA=34540075, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34541111, rearAxleOnA=34541239, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34545226, rearAxleOnA=34545383, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34550584, rearAxleOnA=34550741, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34576264, rearAxleOnA=34576402, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34579172, rearAxleOnA=34579296, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34641002, rearAxleOnA=34641145, frontAxleOnB=34641005, rearAxleOnB=34641148, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34646717, rearAxleOnA=34646847, frontAxleOnB=34646720, rearAxleOnB=34646849, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34663443, rearAxleOnA=34663556, frontAxleOnB=34663445, rearAxleOnB=34663559, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34687584, rearAxleOnA=34687714, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34697870, rearAxleOnA=34697992, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34721520, rearAxleOnA=34721677, frontAxleOnB=34721523, rearAxleOnB=34721680, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34728612, rearAxleOnA=34728742, frontAxleOnB=34728615, rearAxleOnB=34728745, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34744909, rearAxleOnA=34745089, frontAxleOnB=34744913, rearAxleOnB=34745093, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34754982, rearAxleOnA=34755113, frontAxleOnB=34754984, rearAxleOnB=34755116, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34762016, rearAxleOnA=34762153, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34763623, rearAxleOnA=34763760, frontAxleOnB=34763626, rearAxleOnB=34763763, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34793749, rearAxleOnA=34793898, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34806635, rearAxleOnA=34806784, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34854848, rearAxleOnA=34854995, frontAxleOnB=34854851, rearAxleOnB=34854998, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34859304, rearAxleOnA=34859446, frontAxleOnB=34859306, rearAxleOnB=34859449, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34859728, rearAxleOnA=34859857, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34926401, rearAxleOnA=34926541, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34936274, rearAxleOnA=34936435, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34939862, rearAxleOnA=34940004, frontAxleOnB=34939865, rearAxleOnB=34940007, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34943067, rearAxleOnA=34943233, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=34959235, rearAxleOnA=34959396, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35011681, rearAxleOnA=35011849, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35021627, rearAxleOnA=35021726, frontAxleOnB=35021629, rearAxleOnB=35021728, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35028264, rearAxleOnA=35028421, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35047241, rearAxleOnA=35047388, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35063787, rearAxleOnA=35063944, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35076420, rearAxleOnA=35076541, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35081237, rearAxleOnA=35081393, frontAxleOnB=35081241, rearAxleOnB=35081396, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35117948, rearAxleOnA=35118095, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35123488, rearAxleOnA=35123600, frontAxleOnB=35123490, rearAxleOnB=35123603, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35131333, rearAxleOnA=35131478, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35151137, rearAxleOnA=35151279, frontAxleOnB=35151140, rearAxleOnB=35151282, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35158817, rearAxleOnA=35158974, frontAxleOnB=35158820, rearAxleOnB=35158977, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35165816, rearAxleOnA=35165961, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35166698, rearAxleOnA=35166854, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35176407, rearAxleOnA=35176541, frontAxleOnB=35176410, rearAxleOnB=35176544, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35192180, rearAxleOnA=35192344, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35200288, rearAxleOnA=35200417, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35212230, rearAxleOnA=35212398, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35215593, rearAxleOnA=35215728, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35225456, rearAxleOnA=35225578, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35231548, rearAxleOnA=35231708, frontAxleOnB=35231551, rearAxleOnB=35231711, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35244311, rearAxleOnA=35244472, frontAxleOnB=35244314, rearAxleOnB=35244475, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35264906, rearAxleOnA=35265030, frontAxleOnB=35264909, rearAxleOnB=35265033, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35305003, rearAxleOnA=35305153, frontAxleOnB=35305006, rearAxleOnB=35305156, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35329311, rearAxleOnA=35329496, frontAxleOnB=35329315, rearAxleOnB=35329500, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35360062, rearAxleOnA=35360235, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35441149, rearAxleOnA=35441322, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35459455, rearAxleOnA=35459587, frontAxleOnB=35459457, rearAxleOnB=35459589, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35526941, rearAxleOnA=35527090, frontAxleOnB=35526944, rearAxleOnB=35527092, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35528987, rearAxleOnA=35529133, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35534834, rearAxleOnA=35534953, frontAxleOnB=35534837, rearAxleOnB=35534956, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35551864, rearAxleOnA=35552004, frontAxleOnB=0, rearAxleOnB=0, direction=NORTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35558165, rearAxleOnA=35558335, frontAxleOnB=35558169, rearAxleOnB=35558338, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35574717, rearAxleOnA=35574860, frontAxleOnB=35574720, rearAxleOnB=35574863, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35604183, rearAxleOnA=35604324, frontAxleOnB=35604186, rearAxleOnB=35604326, direction=SOUTH_BOUND, day=TWO]
Vehicle [frontAxleOnA=35621206, rearAxleOnA=35621314, frontAxleOnB=35621208, rearAxleOnB=35621316, direction=SOUTH_BOUND, day=TWO]
